IMS_ID,NPI_ID
IMS_29551397,NPI_49551397
IMS_71676910,NPI_91676910
IMS_71059269,NPI_91059269
IMS_33454213,NPI_53454213
IMS_62752084,NPI_82752084
IMS_56940888,NPI_76940888
IMS_68185323,NPI_88185323
IMS_78030272,NPI_98030272
IMS_24759934,NPI_44759934
IMS_81524818,NPI_46282203
IMS_26282203,NPI_40758049
IMS_20758049,NPI_91196021
IMS_71196021,NPI_65355144
IMS_45355144,NPI_36427354
IMS_16427354,NPI_57445579
IMS_98424785,NPI_75010020
IMS_96906021,NPI_60830513
IMS_37445579,NPI_71527761
IMS_55010020,NPI_57362905
IMS_40830513,NPI_53952599
IMS_51527761,NPI_48902055
IMS_37362905,NPI_55312781
IMS_33952599,NPI_76574150
IMS_28902055,NPI_79668903
IMS_35312781,NPI_84988067
IMS_56574150,NPI_58297660
IMS_59668903,NPI_84098740
IMS_94063468,NPI_91888995
IMS_64988067,NPI_67014403
IMS_38297660,NPI_80344938
IMS_64098740,NPI_51531451
IMS_71888995,NPI_46655519
IMS_84544482,NPI_54246087
IMS_47014403,NPI_30757671
IMS_60344938,NPI_83085284
IMS_31531451,NPI_49811140
IMS_97045956,NPI_51815775
IMS_95692123,NPI_55855792
IMS_26655519,NPI_52416319
IMS_34246087,NPI_33507756
IMS_10757671,NPI_61839809
IMS_90901368,NPI_90155377
IMS_63085284,NPI_82030934
IMS_29811140,NPI_46994006
IMS_85988402,NPI_37040749
IMS_31815775,NPI_63163972
IMS_35855792,NPI_98063560
IMS_32416319,NPI_68903720
IMS_13507756,NPI_75461599
IMS_99349526,NPI_76072689
IMS_41839809,NPI_78720882
IMS_70155377,NPI_94902847
IMS_95604041,NPI_83920124
IMS_62030934,NPI_38313878
IMS_26994006,NPI_43599286
IMS_93734740,NPI_70251842
IMS_84350128,NPI_88312015
IMS_17040749,NPI_63894395
IMS_91752050,NPI_62184968
IMS_43163972,NPI_88710811
IMS_93058688,NPI_98931403
IMS_78063560,NPI_96234023
IMS_48903720,NPI_64119540
IMS_89238734,NPI_49755328
IMS_55461599,NPI_37814059
IMS_80891017,NPI_73856759
IMS_56072689,NPI_52106276
IMS_82810495,NPI_37326387
IMS_58720882,NPI_66930094
IMS_74902847,NPI_46240773
IMS_63920124,NPI_36807567
IMS_18313878,NPI_59413363
IMS_23599286,NPI_71588524
IMS_50251842,NPI_59052908
IMS_97443754,NPI_77945830
IMS_68312015,NPI_74793923
IMS_43894395,NPI_91161631
IMS_42184968,NPI_31681383
IMS_68710811,NPI_45304838
IMS_78931403,NPI_93822818
IMS_76234023,NPI_55880983
IMS_88206592,NPI_45983387
IMS_44119540,NPI_58071058
IMS_29755328,NPI_35897905
IMS_17814059,NPI_82324115
IMS_88564642,NPI_43962744
IMS_53856759,NPI_83768894
IMS_32106276,NPI_50333510
IMS_17326387,NPI_93983063
IMS_46930094,NPI_35217439
IMS_26240773,NPI_89758276
IMS_16807567,NPI_51626108
IMS_89908341,NPI_36627195
IMS_39413363,NPI_93602580
IMS_51588524,NPI_36321740
IMS_80399430,NPI_56591482
IMS_93372482,NPI_63392628
IMS_39052908,NPI_51135116
IMS_97352994,NPI_42662081
IMS_86264316,NPI_35241363
IMS_57945830,NPI_48787695
IMS_54793923,NPI_58417340
IMS_71161631,NPI_42104790
IMS_11681383,NPI_46510116
IMS_25304838,NPI_63769047
IMS_73822818,NPI_38965802
IMS_35880983,NPI_83958431
IMS_80502320,NPI_34946770
IMS_25983387,NPI_87220611
IMS_89949138,NPI_93636049
IMS_38071058,NPI_90465887
IMS_15897905,NPI_76125967
IMS_62324115,NPI_90964101
IMS_23962744,NPI_56065427
IMS_63768894,NPI_63717960
IMS_30333510,NPI_86071307
IMS_93011569,NPI_49505966
IMS_98548036,NPI_58008687
IMS_96360012,NPI_85394442
IMS_73983063,NPI_40390290
IMS_83160452,NPI_66102847
IMS_15217439,NPI_83792512
IMS_69758276,NPI_64960117
IMS_31626108,NPI_42742778
IMS_16627195,NPI_55565677
IMS_73602580,NPI_60554700
IMS_16321740,NPI_36355171
IMS_36591482,NPI_82417681
IMS_43392628,NPI_66427649
IMS_31135116,NPI_30380610
IMS_22662081,NPI_66409759
IMS_15241363,NPI_70864775
IMS_28787695,NPI_35066256
IMS_38417340,NPI_33502603
IMS_96091932,NPI_69529535
IMS_22104790,NPI_61135531
IMS_26510116,NPI_84043437
IMS_43769047,NPI_31307339
IMS_18965802,NPI_40737068
IMS_63958431,NPI_59483597
IMS_14946770,NPI_69994190
IMS_82548559,NPI_33093417
IMS_67220611,NPI_41655005
IMS_73636049,NPI_77326588
IMS_70465887,NPI_73491894
IMS_56125967,NPI_89636983
IMS_70964101,NPI_34523060
IMS_80278870,NPI_54732389
IMS_36065427,NPI_41239205
IMS_91397881,NPI_33065181
IMS_87810973,NPI_77307109
IMS_43717960,NPI_49280411
IMS_66071307,NPI_51332802
IMS_29505966,NPI_30432150
IMS_38008687,NPI_31832207
IMS_65394442,NPI_72921008
IMS_20390290,NPI_98095034
IMS_90245680,NPI_83195922
IMS_46102847,NPI_53419423
IMS_63792512,NPI_81077858
IMS_44960117,NPI_81291663
IMS_22742778,NPI_89948742
IMS_35565677,NPI_56224382
IMS_40554700,NPI_58531689
IMS_16355171,NPI_51607014
IMS_62417681,NPI_66345360
IMS_46427649,NPI_39821012
IMS_10380610,NPI_91406177
IMS_46409759,NPI_48262019
IMS_50864775,NPI_88714200
IMS_15066256,NPI_97707756
IMS_13502603,NPI_44904222
IMS_84949415,NPI_70372203
IMS_49529535,NPI_46875747
IMS_41135531,NPI_44936095
IMS_64043437,NPI_59942091
IMS_11307339,NPI_36327521
IMS_97736137,NPI_82818198
IMS_20737068,NPI_91524577
IMS_39483597,NPI_87713881
IMS_49994190,NPI_77170646
IMS_96448600,NPI_41736367
IMS_96271723,NPI_39322435
IMS_94068788,NPI_36262902
IMS_13093417,NPI_89261626
IMS_21655005,NPI_85865428
IMS_88539733,NPI_32682597
IMS_57326588,NPI_50711476
IMS_53491894,NPI_94508254
IMS_69636983,NPI_44256839
IMS_14523060,NPI_41879835
IMS_34732389,NPI_69422016
IMS_21239205,NPI_42813699
IMS_13065181,NPI_49729013
IMS_92897965,NPI_48853283
IMS_57307109,NPI_49688149
IMS_84338354,NPI_52844171
IMS_29280411,NPI_78066948
IMS_31332802,NPI_80925221
IMS_10432150,NPI_43976965
IMS_11832207,NPI_95013698
IMS_52921008,NPI_73366355
IMS_78095034,NPI_45569781
IMS_63195922,NPI_93351238
IMS_33419423,NPI_67786146
IMS_61077858,NPI_60448961
IMS_61291663,NPI_76747613
IMS_69948742,NPI_60720059
IMS_36224382,NPI_34701306
IMS_38531689,NPI_31905316
IMS_31607014,NPI_60176104
IMS_90674756,NPI_97995989
IMS_87376659,NPI_45165738
IMS_83765952,NPI_41935626
IMS_46345360,NPI_46777488
IMS_19821012,NPI_93003001
IMS_93942432,NPI_36994200
IMS_71406177,NPI_94166722
IMS_94953896,NPI_76993748
IMS_28262019,NPI_98534668
IMS_68714200,NPI_94083950
IMS_88463837,NPI_57318410
IMS_88435289,NPI_96090742
IMS_77707756,NPI_36377380
IMS_24904222,NPI_97950801
IMS_97438646,NPI_64358451
IMS_50372203,NPI_33940319
IMS_26875747,NPI_44332430
IMS_24936095,NPI_54668868
IMS_87717640,NPI_35312683
IMS_92695111,NPI_61228906
IMS_39942091,NPI_92145562
IMS_16327521,NPI_31468971
IMS_62818198,NPI_45277809
IMS_71524577,NPI_59896440
IMS_67713881,NPI_79274033
IMS_57170646,NPI_73082014
IMS_21736367,NPI_46119902
IMS_19322435,NPI_70272882
IMS_16262902,NPI_43924074
IMS_69261626,NPI_71124828
IMS_65865428,NPI_70930096
IMS_12682597,NPI_88736373
IMS_85961050,NPI_55769322
IMS_30711476,NPI_73689087
IMS_74508254,NPI_41847156
IMS_24256839,NPI_51020425
IMS_21879835,NPI_76070965
IMS_49422016,NPI_50594779
IMS_93928438,NPI_55764815
IMS_22813699,NPI_86880365
IMS_84494718,NPI_40992337
IMS_86055856,NPI_41755304
IMS_29729013,NPI_72291494
IMS_28853283,NPI_57341765
IMS_84445453,NPI_72205090
IMS_88410326,NPI_65931656
IMS_29688149,NPI_50464212
IMS_32844171,NPI_44866462
IMS_58066948,NPI_89546826
IMS_85925858,NPI_32138450
IMS_60925221,NPI_57458491
IMS_23976965,NPI_99688966
IMS_96668670,NPI_51780343
IMS_75013698,NPI_93393025
IMS_53366355,NPI_35660032
IMS_25569781,NPI_89258308
IMS_73351238,NPI_77040632
IMS_47786146,NPI_30981719
IMS_40448961,NPI_41158142
IMS_56747613,NPI_96729546
IMS_40720059,NPI_38152419
IMS_14701306,NPI_87081674
IMS_11905316,NPI_81205051
IMS_40176104,NPI_50818968
IMS_77995989,NPI_56091462
IMS_25165738,NPI_88503530
IMS_83552387,NPI_54209355
IMS_21935626,NPI_57512154
IMS_26777488,NPI_65696415
IMS_73003001,NPI_64011758
IMS_94684200,NPI_59194605
IMS_16994200,NPI_69450013
IMS_74166722,NPI_83729833
IMS_56993748,NPI_82601696
IMS_78534668,NPI_64872050
IMS_74083950,NPI_74819111
IMS_37318410,NPI_33694136
IMS_76090742,NPI_65718746
IMS_16377380,NPI_62325132
IMS_77950801,NPI_99710016
IMS_88937034,NPI_53627447
IMS_44358451,NPI_37042415
IMS_13940319,NPI_85830916
IMS_91190037,NPI_42461588
IMS_80508945,NPI_77300271
IMS_80338218,NPI_46065436
IMS_24332430,NPI_52751135
IMS_34668868,NPI_93402031
IMS_15312683,NPI_79695295
IMS_87623651,NPI_58705148
IMS_41228906,NPI_99549640
IMS_72145562,NPI_62018439
IMS_11468971,NPI_84192953
IMS_25277809,NPI_32884510
IMS_39896440,NPI_92596176
IMS_59274033,NPI_75271602
IMS_53082014,NPI_35243159
IMS_26119902,NPI_65534479
IMS_94193443,NPI_96962907
IMS_50272882,NPI_36629762
IMS_23924074,NPI_39967444
IMS_51124828,NPI_77717669
IMS_50930096,NPI_35572672
IMS_68736373,NPI_64659513
IMS_93298931,NPI_91449697
IMS_35769322,NPI_68732710
IMS_53689087,NPI_83373610
IMS_21847156,NPI_78823902
IMS_31020425,NPI_73559559
IMS_56070965,NPI_51117805
IMS_90104710,NPI_46931204
IMS_96887294,NPI_54645332
IMS_93094430,NPI_75620815
IMS_30594779,NPI_96206171
IMS_35764815,NPI_83649469
IMS_66880365,NPI_84843831
IMS_20992337,NPI_63137418
IMS_21755304,NPI_96987739
IMS_52291494,NPI_43101626
IMS_91046205,NPI_58375404
IMS_37341765,NPI_53705885
IMS_52205090,NPI_40337846
IMS_45931656,NPI_62970835
IMS_30464212,NPI_40837775
IMS_99460428,NPI_32542362
IMS_24866462,NPI_67565451
IMS_69546826,NPI_94763485
IMS_12138450,NPI_59415626
IMS_37458491,NPI_74960384
IMS_79688966,NPI_84579442
IMS_31780343,NPI_36099075
IMS_73393025,NPI_66658082
IMS_90474672,NPI_93909653
IMS_98137691,NPI_76191572
IMS_15660032,NPI_76041983
IMS_82794528,NPI_39754780
IMS_69258308,NPI_98332696
IMS_57040632,NPI_68636777
IMS_10981719,NPI_51241936
IMS_21158142,NPI_80253898
IMS_76729546,NPI_71460143
IMS_18152419,NPI_61329210
IMS_67081674,NPI_84145382
IMS_61205051,NPI_88299140
IMS_30818968,NPI_35312409
IMS_36091462,NPI_30612720
